"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023174","2020-07-30","0.00","62","71","58"
"USW00023174","2020-07-31","0.00","67","76","62"
"USW00023174","2020-08-01","0.00","69","81","61"
"USW00023174","2020-08-02","0.00","69","75","63"
"USW00023174","2020-08-03","0.00","69","73","65"
"USW00023174","2020-08-04","0.00","68","74","64"
"USW00023174","2020-08-05","0.00","67","73","63"
"USW00023174","2020-08-06","0.00","67","74","63"
"USW00023174","2020-08-07","0.00","67","73","61"
"USW00023174","2020-08-08","0.00","66","72","62"
"USW00023174","2020-08-09","0.00","65","71","61"
"USW00023174","2020-08-10","0.00","65","71","62"
"USW00023174","2020-08-11","0.00","64","69","60"
"USW00023174","2020-08-12","0.00","65","73","60"
"USW00023174","2020-08-13","0.00","70","83","66"
"USW00023174","2020-08-14","0.00","74","81","68"
"USW00023174","2020-08-15","0.00","75","87","69"
"USW00023174","2020-08-16","0.00","78","93","68"
"USW00023174","2020-08-17","0.00","72","78","67"
"USW00023174","2020-08-18","0.00","74","85","69"
"USW00023174","2020-08-19","0.00","77","85","73"
"USW00023174","2020-08-20","0.00","76","85","72"
"USW00023174","2020-08-21","0.00","75","81","70"
"USW00023174","2020-08-22","0.00","77","90","70"
"USW00023174","2020-08-23","0.00","77","83","71"
"USW00023174","2020-08-24","0.00","72","74","69"
"USW00023174","2020-08-25","0.00","71","76","67"
"USW00023174","2020-08-26","0.00","70","76","66"
"USW00023174","2020-08-27","0.00","71","79","67"
"USW00023174","2020-08-28","0.00","69","75","62"
"USW00023174","2020-08-29","0.00","66","72","62"
"USW00023174","2020-08-30","0.00","67","73","62"
"USW00023174","2020-08-31","0.00","67","72","64"
"USW00023174","2020-09-01","0.00","67","74","64"
"USW00023174","2020-09-02","0.00","67","72","63"
"USW00023174","2020-09-03","0.00","68","74","63"
"USW00023174","2020-09-04","0.00","69","77","64"
"USW00023174","2020-09-05","0.00","73","86","67"
"USW00023174","2020-09-06","0.00","83","99","71"
"USW00023174","2020-09-07","0.00","79","83","70"
"USW00023174","2020-09-08","0.00","73","77","69"
"USW00023174","2020-09-09","0.00","70","73","64"
"USW00023174","2020-09-10","0.00","66","70","62"
"USW00023174","2020-09-11","0.00","67","75","61"
"USW00023174","2020-09-12","0.00","67","74","60"
"USW00023174","2020-09-13","0.00","66","75","60"
"USW00023174","2020-09-14","0.00","68","77","61"
"USW00023174","2020-09-15","0.00","69","76","62"
"USW00023174","2020-09-16","0.00","70","81","62"
"USW00023174","2020-09-17","0.00","71","82","62"
"USW00023174","2020-09-18","0.00","72","87","63"
"USW00023174","2020-09-19","0.00","71","77","65"
"USW00023174","2020-09-20","0.00","67","74","60"
"USW00023174","2020-09-21","0.00","67","73","64"
"USW00023174","2020-09-22","0.00","67","74","64"
"USW00023174","2020-09-23","0.00","67","75","63"
"USW00023174","2020-09-24","0.00","68","81","61"
"USW00023174","2020-09-25","0.00","68","75","64"
"USW00023174","2020-09-26","0.00","69","77","64"
"USW00023174","2020-09-27","0.00","69","74","63"
"USW00023174","2020-09-28","0.00","69","75","65"
"USW00023174","2020-09-29","0.00","68","80","64"
"USW00023174","2020-09-30","0.00","74","92","66"
"USW00023174","2020-10-01","0.00","78","92","67"
"USW00023174","2020-10-02","0.00","76","92","66"
"USW00023174","2020-10-03","0.00","75","86","66"
"USW00023174","2020-10-04","0.00","71","84","62"
"USW00023174","2020-10-05","0.00","71","78","65"
"USW00023174","2020-10-06","0.00","69","84","63"
"USW00023174","2020-10-07","0.00","68","74","63"
"USW00023174","2020-10-08","0.00","68","74","64"
"USW00023174","2020-10-09","0.00","67","73","64"
"USW00023174","2020-10-10","0.00","68","73","65"
"USW00023174","2020-10-11","0.00","67","73","61"
"USW00023174","2020-10-12","0.00","70","80","63"
"USW00023174","2020-10-13","0.00","74","86","65"
"USW00023174","2020-10-14","0.00","73","86","64"
"USW00023174","2020-10-15","0.00","73","82","64"
"USW00023174","2020-10-16","0.00","71","81","63"
"USW00023174","2020-10-17","0.00","71","80","64"
"USW00023174","2020-10-18","0.00","68","74","63"
"USW00023174","2020-10-19","0.00","67","74","63"
"USW00023174","2020-10-20","0.00","67","73","64"
"USW00023174","2020-10-21","0.00","66","71","64"
"USW00023174","2020-10-22","0.00","67","70","65"
"USW00023174","2020-10-23","0.00","67","69","63"
"USW00023174","2020-10-24","0.00","66","70","64"
"USW00023174","2020-10-25","0.00","65","69","59"
"USW00023174","2020-10-26","0.00","63","75","57"
"USW00023174","2020-10-27","0.00","64","76","52"
"USW00023174","2020-10-28","0.00","64","74","54"
"USW00023174","2020-10-29","0.00","63","73","55"
"USW00023174","2020-10-30","0.00","64","76","53"
"USW00023174","2020-10-31","0.00","63","75","54"
"USW00023174","2020-11-01","0.00","64","76","55"
"USW00023174","2020-11-02","0.00","63","69","58"
"USW00023174","2020-11-03","0.00","62","72","57"
"USW00023174","2020-11-04","0.00","64","72","56"
"USW00023174","2020-11-05","0.00","68","88","58"
"USW00023174","2020-11-06","0.00","68","74","58"
"USW00023174","2020-11-07","0.10","59","62","52"
"USW00023174","2020-11-08","0.00","56","61","48"
"USW00023174","2020-11-09","0.00","54","62","45"
"USW00023174","2020-11-10","0.00","54","64","46"
"USW00023174","2020-11-11","0.00","55","64","46"
"USW00023174","2020-11-12","0.00","56","67","47"
"USW00023174","2020-11-13","0.00","56","65","48"
"USW00023174","2020-11-14","0.00","57","65","50"
"USW00023174","2020-11-15","0.00","62","82","51"
"USW00023174","2020-11-16","0.00","71","91","58"
"USW00023174","2020-11-17","0.00","64","75","54"
"USW00023174","2020-11-18","0.00","58","64","54"
"USW00023174","2020-11-19","0.00","59","62","52"
"USW00023174","2020-11-20","0.00","57","67","50"
"USW00023174","2020-11-21","0.00","60","71","52"
"USW00023174","2020-11-22","0.00","59","68","48"
"USW00023174","2020-11-23","0.00","56","62","49"
"USW00023174","2020-11-24","0.00","58","67","52"
"USW00023174","2020-11-25","0.00","57","63","50"
"USW00023174","2020-11-26","0.00","57","65","50"
"USW00023174","2020-11-27","0.00","58","67","43"
"USW00023174","2020-11-28","0.00","59","72","48"
"USW00023174","2020-11-29","0.00","59","74","48"
"USW00023174","2020-11-30","0.00","60","76","49"
"USW00023174","2020-12-01","0.00","59","72","48"
"USW00023174","2020-12-02","0.00","60","78","47"
"USW00023174","2020-12-03","0.00","61","75","49"
"USW00023174","2020-12-04","0.00","61","72","48"
"USW00023174","2020-12-05","0.00","56","71","46"
"USW00023174","2020-12-06","0.00","56","68","43"
"USW00023174","2020-12-07","0.00","56","75","46"
"USW00023174","2020-12-08","0.00","68","82","54"
"USW00023174","2020-12-09","0.00","64","70","53"
"USW00023174","2020-12-10","0.00","57","64","48"
"USW00023174","2020-12-11","0.00","56","62","51"
"USW00023174","2020-12-12","0.00","54","65","47"
"USW00023174","2020-12-13","0.00","59","69","49"
"USW00023174","2020-12-14","0.00","60","67","53"
"USW00023174","2020-12-15","0.00","57","68","46"
"USW00023174","2020-12-16","0.00","58","71","49"
"USW00023174","2020-12-17","0.01","56","62","49"
"USW00023174","2020-12-18","0.00","56","65","48"
"USW00023174","2020-12-19","0.00","57","70","46"
"USW00023174","2020-12-20","0.00","60","77","48"
"USW00023174","2020-12-21","0.00","63","80","53"
"USW00023174","2020-12-22","0.00","59","68","50"
"USW00023174","2020-12-23","0.00","56","67","49"
"USW00023174","2020-12-24","0.01","60","63","54"
"USW00023174","2020-12-25","0.00","60","75","49"
"USW00023174","2020-12-26","0.00","56","65","45"
"USW00023174","2020-12-27","0.00","57","64","52"
"USW00023174","2020-12-28","1.63","53","55","45"
"USW00023174","2020-12-29","0.00","49","65","42"
"USW00023174","2020-12-30","0.00","56","68","43"
"USW00023174","2020-12-31","0.00","54","68","43"
"USW00023174","2021-01-01","0.00","57","67","43"
"USW00023174","2021-01-02","0.00","54","63","46"
"USW00023174","2021-01-03","0.00","54","62","49"
"USW00023174","2021-01-04","0.00","54","59","48"
"USW00023174","2021-01-05","0.00","54","57","50"
"USW00023174","2021-01-06","0.00","54","66","48"
"USW00023174","2021-01-07","0.00","55","67","43"
"USW00023174","2021-01-08","0.00","52","67","45"
"USW00023174","2021-01-09","0.00","59","71","45"
"USW00023174","2021-01-10","0.00","60","70","48"
"USW00023174","2021-01-11","0.00","58","72","48"
"USW00023174","2021-01-12","0.00","59","71","50"
"USW00023174","2021-01-13","0.00","58","73","49"
"USW00023174","2021-01-14","0.00","60","79","48"
"USW00023174","2021-01-15","0.00","66","87","51"
"USW00023174","2021-01-16","0.00","67","82","55"
"USW00023174","2021-01-17","0.00","67","85","55"
"USW00023174","2021-01-18","0.00","63","77","51"
"USW00023174","2021-01-19","0.00","59","72","54"
"USW00023174","2021-01-20","0.00","65","77","55"
"USW00023174","2021-01-21","0.00","63","70","54"
"USW00023174","2021-01-22","0.00","57","61","52"
"USW00023174","2021-01-23","0.18","52","54","47"
"USW00023174","2021-01-24","0.00","49","57","42"
"USW00023174","2021-01-25","0.16","52","54","45"
"USW00023174","2021-01-26","0.00","49","56","43"
"USW00023174","2021-01-27","0.00","51","58","47"
"USW00023174","2021-01-28","0.89","53","63","44"
"USW00023174","2021-01-29","0.68","53","56","47"
"USW00023174","2021-01-30","0.00","50","59","43"
"USW00023174","2021-01-31","0.00","56","70","47"
"USW00023174","2021-02-01","0.00","61","69","56"
"USW00023174","2021-02-02","0.00","58","64","53"
"USW00023174","2021-02-03","0.00","55","61","49"
"USW00023174","2021-02-04","0.00","56","62","51"
"USW00023174","2021-02-05","0.00","55","62","47"
"USW00023174","2021-02-06","0.00","55","63","46"
"USW00023174","2021-02-07","0.00","54","63","46"
"USW00023174","2021-02-08","0.00","53","60","51"
"USW00023174","2021-02-09","0.00","55","59","53"
"USW00023174","2021-02-10","0.00","55","59","51"
"USW00023174","2021-02-11","0.00","54","63","47"
"USW00023174","2021-02-12","0.02","57","64","53"
"USW00023174","2021-02-13","0.00","56","61","51"
"USW00023174","2021-02-14","0.00","60","69","56"
"USW00023174","2021-02-15","0.00","57","64","49"
"USW00023174","2021-02-16","0.00","56","63","52"
"USW00023174","2021-02-17","0.00","58","68","47"
"USW00023174","2021-02-18","0.00","59","67","48"
"USW00023174","2021-02-19","0.00","56","66","46"
"USW00023174","2021-02-20","0.00","56","67","47"
"USW00023174","2021-02-21","0.00","60","71","44"
"USW00023174","2021-02-22","0.00","61","81","49"
"USW00023174","2021-02-23","0.00","62","74","50"
"USW00023174","2021-02-24","0.00","59","70","50"
"USW00023174","2021-02-25","0.00","58","72","49"
"USW00023174","2021-02-26","0.00","59","69","47"
"USW00023174","2021-02-27","0.00","57","73","47"
"USW00023174","2021-02-28","0.00","60","72","48"
"USW00023174","2021-03-01","0.00","61","75","52"
"USW00023174","2021-03-02","0.00","59","74","48"
"USW00023174","2021-03-03","0.13","52","58","45"
"USW00023174","2021-03-04","0.00","54","63","44"
"USW00023174","2021-03-05","0.00","57","72","48"
"USW00023174","2021-03-06","0.00","57","65","48"
"USW00023174","2021-03-07","0.00","56","60","52"
"USW00023174","2021-03-08","0.00","58","63","52"
"USW00023174","2021-03-09","0.00","55","61","47"
"USW00023174","2021-03-10","0.70","53","57","47"
"USW00023174","2021-03-11","0.19","50","56","44"
"USW00023174","2021-03-12","0.00","50","57","42"
